State,City,County,Inactive Date,Changes_20191117
CA,AUBERRY,FRESNO,,
CA,AUBURN LAKE TRAILS,EL DORADO,,
CA,AUBURN,PLACER,,
CA,AVALON,LOS ANGELES,,
CA,AVENAL,KINGS,,
CA,AVERY,CALAVERAS,,
CA,AVILA BEACH,SAN LUIS OBISPO,,
CA,AZUSA,LOS ANGELES,,
CA,BADGER,TULARE,,
CA,BAKER,SAN BERNARDINO,,
CA,BAKERSFIELD,KERN,,
CA,BALANCE ROCK,TULARE,,
CA,BALBOA ISLAND,ORANGE,,
CA,BALBOA,ORANGE,,
CA,BALDWIN HILLS,LOS ANGELES,,
CA,BALDWIN PARK,LOS ANGELES,,
CA,BALLARAT,SAN BERNARDINO,,
CA,BALLARD,SANTA BARBARA,,
CA,BALLICO,MERCED,,
CA,BANGOR,BUTTE,,
CA,BANNING,RIVERSIDE,,
CA,BANTA,SAN JOAQUIN,,
CA,BARD,IMPERIAL,,
CA,BARSTOW,SAN BERNARDINO,,
CA,BASS LAKE,MADERA,,
CA,BASSETT,LOS ANGELES,,
CA,BASSETTS,SIERRA,,
CA,BAY POINT,CONTRA COSTA,,
CA,BAYLISS,GLENN,,
CA,BAYSIDE,HUMBOLDT,,
CA,BEAR VALLEY SPRINGS,KERN,,
CA,BEAR VALLEY,CALAVERAS,,
CA,BEAUMONT,RIVERSIDE,,
CA,BECKWOURTH,PLUMAS,,
CA,BELDEN,PLUMAS,,
CA,BELL CANYON,LOS ANGELES,,
CA,BELL GARDENS,LOS ANGELES,,
CA,BELL,LOS ANGELES,,
CA,BELLA VISTA,SHASTA,,
CA,BELLFLOWER,LOS ANGELES,,
CA,BELMONT,SAN MATEO,,
CA,BELVEDERE,MARIN,,
CA,BEN LOMOND,SANTA CRUZ,,
CA,BENICIA,SOLANO,,
CA,BENTON,MONO,,
CA,BERENDA,MADERA,,
CA,BERKELEY,ALAMEDA,,
CA,BERMUDA DUNES,RIVERSIDE,,
CA,BERRY CREEK,BUTTE,,
CA,BETHEL ISLAND,CONTRA COSTA,,
CA,BEVERLY HILLS,LOS ANGELES,,
CA,BIEBER,LASSEN,,
CA,BIG BAR,TRINITY,,
CA,BIG BEAR CITY,SAN BERNARDINO,,
CA,BIG BEAR LAKE,SAN BERNARDINO,,
CA,BIG BEND,SHASTA,,
CA,BIG CREEK,FRESNO,,
CA,BIG OAK FLAT,TUOLUMNE,,
CA,BIG OAK VALLEY,NEVADA,,
CA,BIG PINE,INYO,,
CA,BIG RIVER,SAN BERNARDINO,,
CA,BIG SUR,MONTEREY,,
CA,BIGGS,BUTTE,,
CA,BIOLA,FRESNO,,
CA,BIRDS LANDING,SOLANO,,
CA,BISHOP,INYO,,
CA,BLACKHAWK,CONTRA COSTA,,
CA,BLAIRSDEN GRAEAGLE,PLUMAS,,
CA,BLAIRSDEN,PLUMAS,,
CA,BLOCKSBURG,HUMBOLDT,,
CA,BLOOMFIELD,SONOMA,,
CA,BLOOMINGTON,SAN BERNARDINO,,
CA,BLUE CANYON,PLACER,,
CA,BLUE JAY,SAN BERNARDINO,,
CA,BLUE LAKE,HUMBOLDT,,
CA,BLYTHE,RIVERSIDE,,
CA,BODEGA BAY,SONOMA,,
CA,BODEGA,SONOMA,,
CA,BODFISH,KERN,,
CA,BOLINAS,MARIN,,
CA,BOMBAY BEACH,IMPERIAL,,
CA,BONDS CORNER,IMPERIAL,,
CA,BONITA,SAN DIEGO,,
CA,BONNY DOON,SANTA CRUZ,,
CA,BONSALL,SAN DIEGO,,
CA,BOONVILLE,MENDOCINO,,
CA,BORON,KERN,,
CA,BORREGO SPRINGS,SAN DIEGO,,
CA,BOSTONIA,SAN DIEGO,,
CA,BOULDER CREEK,SANTA CRUZ,,
CA,BOULEVARD,SAN DIEGO,,
CA,BOWMAN,PLACER,,
CA,BOX CANYON,LOS ANGELES,,
CA,BOX SPRINGS,RIVERSIDE,,
CA,BOYES HOT SPRINGS,SONOMA,,
CA,BRADBURY,LOS ANGELES,,
CA,BRADLEY,MONTEREY,,
CA,BRANSCOMB,MENDOCINO,,
CA,BRAWLEY,IMPERIAL,,
CA,BREA,ORANGE,,
CA,BRENTWOOD,CONTRA COSTA,,
CA,BRIDGEPORT,MONO,,
CA,BRIDGEVILLE,HUMBOLDT,,
CA,BRIONES,CONTRA COSTA,,
CA,BRISBANE,SAN MATEO,,
CA,BROADMOOR VLG,SAN MATEO,,
CA,BROCKWAY,PLACER,,
CA,BRODERICK,YOLO,,
CA,BROOKDALE,SANTA CRUZ,,
CA,BROOKS,YOLO,,
CA,BROWNS VALLEY,YUBA,,
CA,BROWNSVILLE,YUBA,,
CA,BRUSH CREEK,BUTTE,,
CA,BRYN MAWR,SAN BERNARDINO,,
CA,BRYTE,YOLO,,
CA,BUCKS LAKE,PLUMAS,,
CA,BUELLTON,SANTA BARBARA,,
CA,BUENA PARK,ORANGE,,
CA,BURBANK,LOS ANGELES,,
CA,BURLINGAME,SAN MATEO,,
CA,BURNEY,SHASTA,,
CA,BURNT RANCH,TRINITY,,
CA,BURREL,FRESNO,,
CA,BURSON,CALAVERAS,,
CA,BUTTE CITY,GLENN,,
CA,BUTTE MEADOWS,BUTTE,,
CA,BUTTE VALLEY,BUTTE,,
CA,BUTTONWILLOW,KERN,,
CA,BYRON,CONTRA COSTA,,
CA,CABAZON,RIVERSIDE,,
CA,CADIZ,SAN BERNARDINO,,
CA,CAIRNS CORNER,TULARE,,
CA,CALABASAS HILLS,LOS ANGELES,,
CA,CALABASAS,LOS ANGELES,,
CA,CALEXICO,IMPERIAL,,
CA,CALIENTE,KERN,,
CA,CALIFORNIA CITY,KERN,,
CA,CALIFORNIA HOT SPRINGS,TULARE,,
CA,CALIFORNIA PINES,MODOC,,
CA,CALIMESA,RIVERSIDE,,
CA,CALIPATRIA,IMPERIAL,,
CA,CALISTOGA,NAPA,,
CA,CALLAHAN,SISKIYOU,,
CA,CALPELLA,MENDOCINO,,
CA,CALPINE,SIERRA,,
CA,CALWA,FRESNO,,
CA,CAMARILLO,VENTURA,,
CA,CAMBRIA,SAN LUIS OBISPO,,
CA,CAMERON PARK,EL DORADO,,
CA,CAMINO,EL DORADO,,
CA,CAMP MEEKER,SONOMA,,
CA,CAMP NELSON,TULARE,,
CA,CAMP RICHARDSON,EL DORADO,,
CA,CAMPBELL,SANTA CLARA,,
CA,CAMPO SECO,CALAVERAS,,
CA,CAMPO,SAN DIEGO,,
CA,CAMPTONVILLE,YUBA,,
CA,CANBY,MODOC,,
CA,CANOGA PARK,LOS ANGELES,,
CA,CANTIL,KERN,,
CA,CANTUA CREEK,FRESNO,,
CA,CANYON COUNTRY,LOS ANGELES,,
CA,CANYON DAM,PLUMAS,,
CA,CANYON LAKE,RIVERSIDE,,
CA,CANYON,CONTRA COSTA,,
CA,CANYONDAM,PLUMAS,,
CA,CAPAY,YOLO,,
CA,CAPE HORN,PLACER,,
CA,CAPISTRANO BEACH,ORANGE,,
CA,CAPITOLA,SANTA CRUZ,,
CA,CARBONDALE,AMADOR,,
CA,CARDIFF BY THE SEA,SAN DIEGO,,
CA,CARIBOU,PLUMAS,,
CA,CARLOTTA,HUMBOLDT,,
CA,CARLSBAD,SAN DIEGO,,
CA,CARMEL BY THE SEA,MONTEREY,,
CA,CARMEL HIGHLANDS,MONTEREY,,
CA,CARMEL VALLEY VILLAGE,MONTEREY,,
CA,CARMEL VALLEY,MONTEREY,,
CA,CARMEL,MONTEREY,,
CA,CARMICHAEL,SACRAMENTO,,
CA,CARNELIAN BAY,PLACER,,
CA,CARPINTERIA,SANTA BARBARA,,
CA,CARSON,LOS ANGELES,,
CA,CARTAGO,INYO,,
CA,CARUTHERS,FRESNO,,
CA,CASITAS SPRINGS,VENTURA,,
CA,CASMALIA,SANTA BARBARA,,
CA,CASPAR,MENDOCINO,,
CA,CASSEL,SHASTA,,
CA,CASTAIC,LOS ANGELES,,
CA,CASTELLA,SHASTA,,
CA,CASTRO VALLEY,ALAMEDA,,
CA,CASTROVILLE,MONTEREY,,
CA,CATHEDRAL CITY,RIVERSIDE,,
CA,CATHEYS VALLEY,MARIPOSA,,
CA,CAYUCOS,SAN LUIS OBISPO,,
CA,CAZADERO,SONOMA,,
CA,CEDAR GLEN,SAN BERNARDINO,,
CA,CEDAR GROVE,EL DORADO,,
CA,CEDAR RIDGE,NEVADA,,
CA,CEDARPINES PARK,SAN BERNARDINO,,
CA,CEDARVILLE,MODOC,,
CA,CENTERVILLE,FRESNO,,
CA,CENTRAL VALLEY,SHASTA,,
CA,CENTURY CITY,LOS ANGELES,,
CA,CERES,STANISLAUS,,
CA,CERRITOS,LOS ANGELES,,
CA,CHALFANT VALLEY,INYO,,
CA,CHALFANT,INYO,,
CA,CHALLENGE,YUBA,,
CA,CHARTER OAK,LOS ANGELES,,
CA,CHATSWORTH,LOS ANGELES,,
CA,CHEROKEE,BUTTE,,
CA,CHERRY VALLEY,RIVERSIDE,,
CA,CHESTER,PLUMAS,,
CA,CHICAGO PARK,NEVADA,,
CA,CHICO,BUTTE,,
CA,CHILCOOT,PLUMAS,,
CA,CHINA LAKE,KERN,,
CA,CHINESE CAMP,TUOLUMNE,,
CA,CHINO HILLS,SAN BERNARDINO,,
CA,CHINO,SAN BERNARDINO,,
CA,CHIRIACO SUMMIT,RIVERSIDE,,
CA,CHOLAME,SAN LUIS OBISPO,,
CA,CHOWCHILLA,MADERA,,
CA,CHUALAR,MONTEREY,,
CA,CHULA VISTA,SAN DIEGO,,
CA,CIMA,SAN BERNARDINO,,
CA,CIMARRON,LOS ANGELES,,
CA,CISCO,NEVADA,,
CA,CITRUS HEIGHTS,SACRAMENTO,,
CA,CITY OF INDUSTRY,LOS ANGELES,,
CA,CITY RANCH,LOS ANGELES,,
CA,CLAREMONT,LOS ANGELES,,
CA,CLARKSBURG,YOLO,,
CA,CLAY,SACRAMENTO,,
CA,CLAYTON,CONTRA COSTA,,
CA,CLEAR CREEK,LASSEN,,
CA,CLEARLAKE OAKS,LAKE,,
CA,CLEARLAKE PARK,LAKE,,
CA,CLEARLAKE,LAKE,,
CA,CLEMENTS,SAN JOAQUIN,,
CA,CLEONE,MENDOCINO,,
CA,CLINTON,AMADOR,,
CA,CLIO,PLUMAS,,
CA,CLIPPER GAP,PLACER,,
CA,CLIPPER MILLS,BUTTE,,
CA,CLOVERDALE,SONOMA,,
CA,CLOVIS,FRESNO,,
CA,CLYDE,CONTRA COSTA,,
CA,COACHELLA,RIVERSIDE,,
CA,COALINGA,FRESNO,,
CA,COARSEGOLD,MADERA,,
CA,COBB,LAKE,,
CA,CODORA,COLUSA,,
CA,COHASSET,BUTTE,,
CA,COLD SPRINGS,TUOLUMNE,,
CA,COLEVILLE,MONO,,
CA,COLFAX,PLACER,,
CA,COLLEGE CITY,COLUSA,,
CA,COLMA,SAN MATEO,,
CA,COLOMA,EL DORADO,,
CA,COLTON,SAN BERNARDINO,,
CA,COLUMBIA,TUOLUMNE,,
CA,COLUSA,COLUSA,,
CA,COMMERCE,LOS ANGELES,,
CA,COMPTCHE,MENDOCINO,,
CA,COMPTON,LOS ANGELES,,
CA,CONCORD,CONTRA COSTA,,
CA,CONEJO,FRESNO,,
CA,COOL,EL DORADO,,
CA,COPPEROPOLIS,CALAVERAS,,
CA,CORCORAN,KINGS,,
CA,CORNELL,LOS ANGELES,,
CA,CORNING,TEHAMA,,
CA,CORONA DEL MAR,ORANGE,,
CA,CORONA,RIVERSIDE,,
CA,CORONADO,SAN DIEGO,,
CA,CORRAL DE TIERRA,MONTEREY,,
CA,CORRALITOS,SANTA CRUZ,,
CA,CORTE MADERA,MARIN,,
CA,COSTA MESA,ORANGE,,
CA,COTATI,SONOMA,,
CA,COTO DE CAZA,ORANGE,,
CA,COTTONWOOD,SHASTA,,
CA,COULTERVILLE,MARIPOSA,,
CA,COURTLAND,SACRAMENTO,,
CA,COVELO,MENDOCINO,,
CA,COVINA,LOS ANGELES,,
CA,COWAN HEIGHTS,ORANGE,,
CA,COYOTE,SANTA CLARA,,
CA,CRESCENT CITY,DEL NORTE,,
CA,CRESCENT MILLS,PLUMAS,,
CA,CRESSEY,MERCED,,
CA,CREST,SAN DIEGO,,
CA,CRESTLINE,SAN BERNARDINO,,
CA,CRESTON,SAN LUIS OBISPO,,
CA,CROCKETT,CONTRA COSTA,,
CA,CROMBERG,PLUMAS,,
CA,CROWLEY LAKE,MONO,,
CA,CROWS LANDING,STANISLAUS,,
CA,CRYSTAL CITY,LOS ANGELES,,
CA,CRYSTALAIRE,LOS ANGELES,,
CA,CUDAHY,LOS ANGELES,,
CA,CULVER CITY,LOS ANGELES,,
CA,CUPERTINO,SANTA CLARA,,
CA,CUTLER,TULARE,,
CA,CUTTEN,HUMBOLDT,,
CA,CUYAMA,SANTA BARBARA,,
CA,CYPRESS,ORANGE,,
CA,DAGGETT,SAN BERNARDINO,,
CA,DAIRYVILLE,TEHAMA,,
CA,DALY CITY,SAN MATEO,,
CA,DANA POINT,ORANGE,,
CA,DANVILLE,CONTRA COSTA,,
CA,DARDANELLE,TUOLUMNE,,
CA,DARWIN,INYO,,
CA,DAVENPORT,SANTA CRUZ,,
CA,DAVIS CREEK,MODOC,,
CA,DAVIS,YOLO,,
CA,DAYTON,BUTTE,,
CA,DEATH VALLEY JUNCTION,INYO,,
CA,DEATH VALLEY,INYO,,
CA,DEER PARK,NAPA,,
CA,DEL MAR,SAN DIEGO,,
CA,DEL REY OAKS,MONTEREY,,
CA,DEL REY,FRESNO,,
CA,DEL SUR,LOS ANGELES,,
CA,DELANO,KERN,,
CA,DELHI,MERCED,,
CA,DELLEKER,PLUMAS,,
CA,DENAIR,STANISLAUS,,
CA,DESCANSO,SAN DIEGO,,
CA,DESERT CENTER,RIVERSIDE,,
CA,DESERT EDGE,RIVERSIDE,,
CA,DESERT HOT SPRINGS,RIVERSIDE,,
CA,DESERT LAKE,KERN,,
CA,DESERT SHORES,RIVERSIDE,,
CA,DEVORE HEIGHTS,SAN BERNARDINO,,
CA,DI GIORGIO,KERN,,
CA,DIABLO GRANDE,STANISLAUS,,
CA,DIABLO,CONTRA COSTA,,
CA,DIAMOND BAR,LOS ANGELES,,
CA,DIAMOND SPRINGS,EL DORADO,,
CA,DILLON BEACH,MARIN,,
CA,DINUBA,TULARE,,
CA,DISCOVERY BAY,CONTRA COSTA,,
CA,DIXON,SOLANO,,
CA,DOBBINS,YUBA,,
CA,DOCKWEILER,LOS ANGELES,,
CA,DOLOMITE,INYO,,
CA,DONNER,NEVADA,,
CA,DORRINGTON,CALAVERAS,,
CA,DORRIS,SISKIYOU,,
CA,DOS PALOS,MERCED,,
CA,DOS RIOS,MENDOCINO,,
CA,DOUGLAS CITY,TRINITY,,
CA,DOUGLAS FLAT,CALAVERAS,,
CA,DOVE CANYON,ORANGE,,
CA,DOWNEY,LOS ANGELES,,
CA,DOWNIEVILLE,SIERRA,,
CA,DOYLE,LASSEN,,
CA,DRYTOWN,AMADOR,,
CA,DUARTE,LOS ANGELES,,
CA,DUBLIN,ALAMEDA,,
CA,DUCOR,TULARE,,
CA,DULZURA,SAN DIEGO,,
CA,DUNCANS MILLS,SONOMA,,
CA,DUNLAP,FRESNO,,
CA,DUNNIGAN,YOLO,,
CA,DUNSMUIR,SISKIYOU,,
CA,DURHAM,BUTTE,,
CA,DUTCH FLAT,PLACER,,
CA,EAGLE MOUNTAIN,RIVERSIDE,,
CA,EAGLE ROCK,LOS ANGELES,,
CA,EAGLEVILLE,MODOC,,
CA,EARLIMART,TULARE,,
CA,EARP,SAN BERNARDINO,,
CA,EAST GARRISON,MONTEREY,,
CA,EAST GRIDLEY,BUTTE,,
CA,EAST LOS ANGELES,LOS ANGELES,,
CA,EAST NICOLAUS,SUTTER,,
CA,EAST OROSI,TULARE,,
CA,EAST PALO ALTO,SANTA CLARA,,
CA,EAST QUINCY,PLUMAS,,
CA,EAST RANCHO DOMINGUEZ,LOS ANGELES,,
CA,EASTVALE,RIVERSIDE,,
CA,ECHO LAKE,EL DORADO,,
CA,EDEN VALLEY,PLACER,,
CA,EDGEWOOD,SISKIYOU,,
CA,EDISON,KERN,,
CA,EDWARDS,KERN,,
CA,EL CAJON,SAN DIEGO,,
CA,EL CENTRO,IMPERIAL,,
CA,EL CERRITO,CONTRA COSTA,,
CA,EL DORADO HILLS,EL DORADO,,
CA,EL DORADO,EL DORADO,,
CA,EL GRANADA,SAN MATEO,,
CA,EL MACERO,YOLO,,
CA,EL MIRAGE,SAN BERNARDINO,,
CA,EL MONTE,LOS ANGELES,,
CA,EL NIDO,MERCED,,
CA,EL PORTAL,MARIPOSA,,
CA,EL SEGUNDO,LOS ANGELES,,
CA,EL SOBRANTE,CONTRA COSTA,,
CA,EL TORO,ORANGE,,
CA,EL VERANO,SONOMA,,
CA,ELDRIDGE,SONOMA,,
CA,ELFIN FOREST,SAN DIEGO,,
CA,ELIZABETH LAKE,LOS ANGELES,,
CA,ELK CREEK,GLENN,,
CA,ELK GROVE,SACRAMENTO,,
CA,ELK,MENDOCINO,,
CA,ELMIRA,SOLANO,,
CA,ELVERTA,SACRAMENTO,,
CA,EMERALD HILLS,SAN MATEO,,
CA,EMERYVILLE,ALAMEDA,,
CA,EMIGRANT GAP,PLACER,,
CA,EMPIRE,STANISLAUS,,
CA,ENCINITAS,SAN DIEGO,,
CA,ENCINO,LOS ANGELES,,
CA,ESCALON,SAN JOAQUIN,,
CA,ESCONDIDO,SAN DIEGO,,
CA,ESPARTO,YOLO,,
CA,ESSEX,SAN BERNARDINO,,
CA,ETIWANDA,SAN BERNARDINO,,
CA,ETNA,SISKIYOU,,
CA,EUREKA,HUMBOLDT,,
CA,EXETER,TULARE,,
CA,FAIR OAKS,SACRAMENTO,,
CA,FAIR PLAY,EL DORADO,,
CA,FAIRFAX,MARIN,,
CA,FAIRFIELD,SOLANO,,
CA,FAIRMEAD,MADERA,,
CA,FALL RIVER MILLS,SHASTA,,
CA,FALLBROOK,SAN DIEGO,,
CA,FALLEN LEAF,EL DORADO,,
CA,FALLON,SONOMA,,
CA,FARMERSVILLE,TULARE,,
CA,FARMINGTON,SAN JOAQUIN,,
CA,FAWNSKIN,SAN BERNARDINO,,
CA,FEATHER FALLS,BUTTE,,
CA,FELICITY,IMPERIAL,,
CA,FELLOWS,KERN,,
CA,FELTON,SANTA CRUZ,,
CA,FERNDALE,HUMBOLDT,,
CA,FIDDLETOWN,AMADOR,,
CA,FIELDS LANDING,HUMBOLDT,,
CA,FILLMORE,VENTURA,,
CA,FINLEY,LAKE,,
CA,FIREBAUGH,FRESNO,,
CA,FIRESTONE PARK,LOS ANGELES,,
CA,FISH CAMP,MARIPOSA,,
CA,FIVE MILE TERRACE,EL DORADO,,
CA,FIVE POINTS,FRESNO,,
CA,FLINTRIDGE,LOS ANGELES,,
CA,FLORISTON,NEVADA,,
CA,FLOURNOY,TEHAMA,,
CA,FOLSOM,SACRAMENTO,,
CA,FONTANA,SAN BERNARDINO,,
CA,FOOTHILL RANCH,ORANGE,,
CA,FORBESTOWN,BUTTE,,
CA,FOREST FALLS,SAN BERNARDINO,,
CA,FOREST KNOLLS,MARIN,,
CA,FOREST RANCH,BUTTE,,
CA,FORESTHILL,PLACER,,
CA,FORESTVILLE,SONOMA,,
CA,FORKS OF SALMON,SISKIYOU,,
CA,FORT BIDWELL,MODOC,,
CA,FORT BRAGG,MENDOCINO,,
CA,FORT DICK,DEL NORTE,,
CA,FORT JONES,SISKIYOU,,
CA,FORTUNA,HUMBOLDT,,
CA,FOSTER CITY,SAN MATEO,,
CA,FOUNTAIN VALLEY,ORANGE,,
CA,FOUTS SPRINGS,COLUSA,,
CA,FOWLER,FRESNO,,
CA,FRAZIER PARK,KERN,,
CA,FREEDOM,SANTA CRUZ,,
CA,FREESTONE,SONOMA,,
CA,FREMONT,ALAMEDA,,
CA,FRENCH CAMP,SAN JOAQUIN,,
CA,FRENCH CORRAL,NEVADA,,
CA,FRENCH GULCH,SHASTA,,
CA,FRESH POND,EL DORADO,,
CA,FRESNO,FRESNO,,
CA,FRIANT,FRESNO,,
CA,FRUTO,GLENN,,
CA,FULLERTON,ORANGE,,
CA,FULTON,SONOMA,,
CA,GALT,SACRAMENTO,,
CA,GARBERVILLE,HUMBOLDT,,
CA,GARDEN GROVE,ORANGE,,
CA,GARDEN VALLEY,EL DORADO,,
CA,GARDENA,LOS ANGELES,,
CA,GAREY,SANTA BARBARA,,
CA,GARLOCK,KERN,,
CA,GASQUET,DEL NORTE,,
CA,GAVIOTA,SANTA BARBARA,,
CA,GAZELLE,SISKIYOU,,
CA,GENESEE,PLUMAS,,
CA,GEORGETOWN,EL DORADO,,
CA,GERBER,TEHAMA,,
CA,GEYSERVILLE,SONOMA,,
CA,GILMAN HOT SPRINGS,RIVERSIDE,,
CA,GILROY,SANTA CLARA,,
CA,GLASSELL PARK,LOS ANGELES,,
CA,GLASSELL,LOS ANGELES,,
CA,GLEN ELLEN,SONOMA,,
CA,GLENCOE,CALAVERAS,,
CA,GLENDALE,LOS ANGELES,,
CA,GLENDORA,LOS ANGELES,,
CA,GLENHAVEN,LAKE,,
CA,GLENN,GLENN,,
CA,GLENNVILLE,KERN,,
CA,GOFFS,SAN BERNARDINO,,
CA,GOLD HILL,EL DORADO,,
CA,GOLD RIVER,SACRAMENTO,,
CA,GOLD RUN,PLACER,,
CA,GOLDEN HILLS,KERN,,
CA,GOLETA,SANTA BARBARA,,
CA,GONZALES,MONTEREY,,
CA,GOODYEARS BAR,SIERRA,,
CA,GORDA,MONTEREY,,
CA,GORMAN,KERN,,
CA,GOSHEN,TULARE,,
CA,GRAEAGLE,PLUMAS,,
CA,GRANADA HILLS,LOS ANGELES,,
CA,GRAND ISLAND,SACRAMENTO,,
CA,GRAND TERRACE,SAN BERNARDINO,,
CA,GRANITE BAY,PLACER,,
CA,GRANITEVILLE,NEVADA,,
CA,GRASS VALLEY,NEVADA,,
CA,GRATON,SONOMA,,
CA,GRAYSON,STANISLAUS,,
CA,GREEN VALLEY LAKE,SAN BERNARDINO,,
CA,GREEN VALLEY,LOS ANGELES,,
CA,GREEN,LOS ANGELES,,
CA,GREENBRAE,MARIN,,
CA,GREENFIELD,MONTEREY,,
CA,GREENVIEW,SISKIYOU,,
CA,GREENVILLE,PLUMAS,,
CA,GREENWOOD,EL DORADO,,
CA,GRENADA,SISKIYOU,,
CA,GRIDLEY,BUTTE,,
CA,GRIMES,COLUSA,,
CA,GRIZZLY FLATS,EL DORADO,,
CA,GROVELAND,TUOLUMNE,,
CA,GROVER BEACH,SAN LUIS OBISPO,,
CA,GUADALUPE,SANTA BARBARA,,
CA,GUALALA,MENDOCINO,,
CA,GUASTI,SAN BERNARDINO,,
CA,GUATAY,SAN DIEGO,,
CA,GUERNEVILLE,SONOMA,,
CA,GUINDA,YOLO,,
CA,GUSTINE,MERCED,,
CA,HACIENDA HEIGHTS,LOS ANGELES,,
CA,HALCYON,SAN LUIS OBISPO,,
CA,HALF MOON BAY,SAN MATEO,,
CA,HAMILTON CITY,GLENN,,
CA,HAMMIL VALLEY,INYO,,
CA,HAMMOND RANCH,SISKIYOU,,
CA,HAMMONTON,YUBA,,
CA,HANFORD,KINGS,,
CA,HANSEN HILLS,LOS ANGELES,,
CA,HAPPY CAMP,SISKIYOU,,
CA,HARBOR CITY,LOS ANGELES,,
CA,HARMONY,SAN LUIS OBISPO,,
CA,HAT CREEK,SHASTA,,
CA,HATHAWAY PINES,CALAVERAS,,
CA,HAVASU LAKE,SAN BERNARDINO,,
CA,HAVILAH,KERN,,
CA,HAWAIIAN GARDENS,LOS ANGELES,,
CA,HAWTHORNE,LOS ANGELES,,
CA,HAYFORK,TRINITY,,
CA,HAYWARD,ALAMEDA,,
CA,HAZARD,LOS ANGELES,,
CA,HEALDSBURG,SONOMA,,
CA,HEATHER GLEN,PLACER,,
CA,HEBER,IMPERIAL,,
CA,HELENA,TRINITY,,
CA,HELENDALE,SAN BERNARDINO,,
CA,HELM,FRESNO,,
CA,HEMET,RIVERSIDE,,
CA,HERALD,SACRAMENTO,,
CA,HERCULES,CONTRA COSTA,,
CA,HERITAGE RANCH,SAN LUIS OBISPO,,
CA,HERLONG,LASSEN,,
CA,HERMOSA BEACH,LOS ANGELES,,
CA,HESPERIA,SAN BERNARDINO,,
CA,HI VISTA,LOS ANGELES,,
CA,HICKMAN,STANISLAUS,,
CA,HIDDEN HILLS,LOS ANGELES,,
CA,HIDDEN MEADOWS,SAN DIEGO,,
CA,HIDDEN VALLEY LAKE,LAKE,,
CA,HIDDEN VALLEY,VENTURA,,
CA,HIGHLAND PARK,LOS ANGELES,,
CA,HIGHLAND,SAN BERNARDINO,,
