Beat,Community,Command,CommandAuditGroup,CommandAuditSize
624,SPRING VALLEY,RANCHO SAN DIEGO,RANCHO SAN DIEGO                                  ,L
625,EL CAJON UNICORPORATED,RANCHO SAN DIEGO,RANCHO SAN DIEGO                                  ,L
626,JAMUL,RANCHO SAN DIEGO,RANCHO SAN DIEGO                                  ,L
627,JAMUL,RANCHO SAN DIEGO,RANCHO SAN DIEGO                                  ,L
628,SPRING VALLEY,RANCHO SAN DIEGO,RANCHO SAN DIEGO                                  ,L
629,SPRING VALLEY,RANCHO SAN DIEGO,RANCHO SAN DIEGO                                  ,L
631,JAMUL,RANCHO SAN DIEGO,RANCHO SAN DIEGO                                  ,L
632,SPRING VALLEY,RANCHO SAN DIEGO,RANCHO SAN DIEGO                                  ,L
633,SPRING VALLEY,RANCHO SAN DIEGO,RANCHO SAN DIEGO                                  ,L
634,SPRING VALLEY,RANCHO SAN DIEGO,RANCHO SAN DIEGO                                  ,L
635,JAMUL,RANCHO SAN DIEGO,RANCHO SAN DIEGO                                  ,L
638,JAMUL,RANCHO SAN DIEGO,RANCHO SAN DIEGO                                  ,L
639,SPRING VALLEY,RANCHO SAN DIEGO,RANCHO SAN DIEGO                                  ,L
700,COUNTY ADMINISTRATION CENTER,COURT SERVICES,,
701,IMPERIAL BEACH (CITY),RANCHO SAN DIEGO,IMPERIAL BEACH (CITY)                             ,S
702,IMPERIAL BEACH (CITY),RANCHO SAN DIEGO,IMPERIAL BEACH (CITY)                             ,S
703,IMPERIAL BEACH (CITY),RANCHO SAN DIEGO,IMPERIAL BEACH (CITY)                             ,S
704,IMPERIAL BEACH (CITY),RANCHO SAN DIEGO,IMPERIAL BEACH (CITY)                             ,S
705,IMPERIAL BEACH (CITY),RANCHO SAN DIEGO,IMPERIAL BEACH (CITY)                             ,S
706,IMPERIAL BEACH (CITY),RANCHO SAN DIEGO,IMPERIAL BEACH (CITY)                             ,S
707,IMPERIAL BEACH (CITY),RANCHO SAN DIEGO,IMPERIAL BEACH (CITY)                             ,S
708,IMPERIAL BEACH (CITY),RANCHO SAN DIEGO,IMPERIAL BEACH (CITY)                             ,S
709,IMPERIAL BEACH (CITY),RANCHO SAN DIEGO,IMPERIAL BEACH (CITY)                             ,S
710,IMPERIAL BEACH (CITY),RANCHO SAN DIEGO,IMPERIAL BEACH (CITY)                             ,S
711,IMPERIAL BEACH (CITY),RANCHO SAN DIEGO,IMPERIAL BEACH (CITY)                             ,S
712,IMPERIAL BEACH (CITY),RANCHO SAN DIEGO,IMPERIAL BEACH (CITY)                             ,S
720,LINCOLN ACRES,RANCHO SAN DIEGO,IMPERIAL BEACH (CITY)                             ,S
721,BONITA,RANCHO SAN DIEGO,IMPERIAL BEACH (CITY)                             ,S
722,BONITA,RANCHO SAN DIEGO,IMPERIAL BEACH (CITY)                             ,S
724,OTAY,RANCHO SAN DIEGO,IMPERIAL BEACH (CITY)                             ,S
725,OTAY,RANCHO SAN DIEGO,IMPERIAL BEACH (CITY)                             ,S
726,OTAY,RANCHO SAN DIEGO,IMPERIAL BEACH (CITY)                             ,S
727,OTAY,RANCHO SAN DIEGO,IMPERIAL BEACH (CITY)                             ,S
728,BONITA,RANCHO SAN DIEGO,IMPERIAL BEACH (CITY)                             ,S
729,BONITA,RANCHO SAN DIEGO,IMPERIAL BEACH (CITY)                             ,S
801,PALA,SAN MARCOS,VALLEY CENTER                                     ,S
802,PALA,SAN MARCOS,VALLEY CENTER                                     ,S
803,PALOMAR MOUNTAIN,SAN MARCOS,VALLEY CENTER                                     ,S
804,PALA,SAN MARCOS,VALLEY CENTER                                     ,S
805,PAUMA VALLEY,SAN MARCOS,VALLEY CENTER                                     ,S
806,PALOMAR MOUNTAIN,SAN MARCOS,VALLEY CENTER                                     ,S
807,VALLEY CENTER,SAN MARCOS,VALLEY CENTER                                     ,S
808,VALLEY CENTER,SAN MARCOS,VALLEY CENTER                                     ,S
809,PAUMA VALLEY,SAN MARCOS,VALLEY CENTER                                     ,S
810,PALOMAR MOUNTAIN,SAN MARCOS,VALLEY CENTER                                     ,S
811,PAUMA VALLEY,SAN MARCOS,VALLEY CENTER                                     ,S
812,VALLEY CENTER,SAN MARCOS,VALLEY CENTER                                     ,S
813,VALLEY CENTER,SAN MARCOS,VALLEY CENTER                                     ,S
814,VALLEY CENTER,SAN MARCOS,VALLEY CENTER                                     ,S
815,PAUMA VALLEY,SAN MARCOS,VALLEY CENTER                                     ,S
816,VALLEY CENTER,SAN MARCOS,VALLEY CENTER                                     ,S
817,VALLEY CENTER,SAN MARCOS,VALLEY CENTER                                     ,S
818,VALLEY CENTER,SAN MARCOS,VALLEY CENTER                                     ,S
819,VALLEY CENTER,SAN MARCOS,VALLEY CENTER                                     ,S
820,WARNER SPRINGS,ALPINE,ALPINE                                            ,S
821,SANTA YSABEL,ALPINE,ALPINE                                            ,S
822,WARNER SPRINGS,ALPINE,ALPINE                                            ,S
823,WARNER SPRINGS,ALPINE,ALPINE                                            ,S
824,SANTA YSABEL,ALPINE,ALPINE                                            ,S
825,SANTA YSABEL,ALPINE,ALPINE                                            ,S
826,SANTA YSABEL,ALPINE,ALPINE                                            ,S
827,SANTA YSABEL,ALPINE,ALPINE                                            ,S
828,RANCHITA,ALPINE,ALPINE                                            ,S
829,JULIAN,ALPINE,ALPINE                                            ,S
830,JULIAN,ALPINE,ALPINE                                            ,S
831,JULIAN,ALPINE,ALPINE                                            ,S
832,JULIAN,ALPINE,ALPINE                                            ,S
833,PINE VALLEY,ALPINE,ALPINE                                            ,S
834,JULIAN,ALPINE,ALPINE                                            ,S
835,JULIAN,ALPINE,ALPINE                                            ,S
836,JULIAN,ALPINE,ALPINE                                            ,S
841,BORREGO SPRINGS,ALPINE,ALPINE                                            ,S
842,BORREGO SPRINGS,ALPINE,ALPINE                                            ,S
843,RANCHITA,ALPINE,ALPINE                                            ,S
844,BORREGO SPRINGS,ALPINE,ALPINE                                            ,S
845,BORREGO SPRINGS,ALPINE,ALPINE                                            ,S
846,BORREGO SPRINGS,ALPINE,ALPINE                                            ,S
847,BORREGO SPRINGS,ALPINE,ALPINE                                            ,S
848,JULIAN,ALPINE,ALPINE                                            ,S
849,BORREGO SPRINGS,ALPINE,ALPINE                                            ,S
850,DESCANSO,ALPINE,ALPINE                                            ,S
851,DESCANSO,ALPINE,ALPINE                                            ,S
852,PINE VALLEY,ALPINE,ALPINE                                            ,S
853,PINE VALLEY,ALPINE,ALPINE                                            ,S
854,PINEVALLEY,ALPINE,ALPINE                                            ,S
855,PINE VALLEY,ALPINE,ALPINE                                            ,S
856,PINE VALLEY,ALPINE,ALPINE                                            ,S
857,PINE VALLEY,ALPINE,ALPINE                                            ,S
858,PINE VALLEY,ALPINE,ALPINE                                            ,S
859,PINE VALLEY,ALPINE,ALPINE                                            ,S
860,PINE VALLEY,ALPINE,ALPINE                                            ,S
861,PINE VALLEY,ALPINE,ALPINE                                            ,S
870,DULZURA,ALPINE,ALPINE                                            ,S
871,CAMPO,ALPINE,ALPINE                                            ,S
872,PINE VALLEY,ALPINE,ALPINE                                            ,S
873,PINE VALLEY,ALPINE,ALPINE                                            ,S
874,BOULEVARD,ALPINE,ALPINE                                            ,S
875,BOULEVARD,ALPINE,ALPINE                                            ,S
876,PINE VALLEY,ALPINE,ALPINE                                            ,S
877,DULZURA,ALPINE,ALPINE                                            ,S
878,TECATE,ALPINE,ALPINE                                            ,S
879,CAMPO,ALPINE,ALPINE                                            ,S
880,BOULEVARD,ALPINE,ALPINE                                            ,S
881,CAMPO,ALPINE,ALPINE                                            ,S
882,CAMPO,ALPINE,ALPINE                                            ,S
883,BOULEVARD,ALPINE,ALPINE                                            ,S
884,BOULEVARD,ALPINE,ALPINE                                            ,S
885,JACUMBA,ALPINE,ALPINE                                            ,S
886,JACUMBA,ALPINE,ALPINE                                            ,S
887,CAMPO,ALPINE,ALPINE                                            ,S
888,CAMPO,ALPINE,ALPINE                                            ,S
889,PINE VALLEY,ALPINE,ALPINE                                            ,S
999,OUT OF COUNTY,OUT OF COUNTY,,
