Offense Validation CD,Offense Code,Offense Txn Type CD,Offense Statute,Offense Type of Statute CD,Statute Literal 25,Offense Default Type of Charge,Offense Type of Charge,Offense Literal Identifier CD,Offense Degree,BCS Hierarchy CD,Offense Enacted,Offense Repealed,ALPS Cognizant CD
1,26645,1,131,PC,FRDLNT CONDCT DRNG INVEST,,M,,,88600,20040101,,*
1,54072,1,131,HN,OBSTRUCT NAVIGABLE WATERS,,M,,,168400,19370827,,*
1,48006,1,132,PC,OFFER FALSE EVIDENCE,,F,,,35100,18720101,,*
1,48149,1,132.5(A),PC,UNLAWFUL WITNESS COMPNS,,M,,,125400,19950101,,*
1,48007,1,133,PC,DECEIVE WITNESS,,M,,,125500,18720101,,*
1,66212,1,133(A),HN,DISCHRG FUEL OIL IN WATER,,M,,,168400,20100101,,*
1,48008,1,134,PC,PREPARE FALSE EVIDENCE,,F,,,26800,18720101,,*
1,48009,1,135,PC,DESTROY/CONCEAL EVIDENCE,,M,,,150200,18720101,,*
1,48125,1,135.5,PC,FIX EVID:HARM SAFETY OFCR,,M,,,150200,19990101,,*
1,48093,1,136.1(A)(1),PC,PREVENT/DISSUADE WIT/VICT,,M,,,97410,19910101,,*
1,48116,1,136.1(A)(1),PC,PRVENT/DISUADE VIC/WITNES,*,F,,,46300,19980101,,*
1,48094,1,136.1(A)(2),PC,ATT PREVENT/DISS WIT/VICT,,M,,,97410,19910101,,*
1,48117,1,136.1(A)(2),PC,ATT PRVNT/DISUADE VIC/WIT,*,F,,,46300,19980101,,*
1,48064,1,136.1(B)(1),PC,INTIM WIT/VICT FR/RPRT,,M,,,97410,19810101,,*
1,48118,1,136.1(B)(1),PC,ATT PRVNT/ETC VIC/ETC:RPT,*,F,,,46300,19980101,,*
1,48065,1,136.1(B)(2),PC,INTIM WIT/VICT FROM PROS,,M,,,97410,19810101,,*
1,48119,1,136.1(B)(2),PC,ATT STOP VIC/ETC:PROSCUTE,*,F,,,46300,19980101,,*
1,48066,1,136.1(B)(3),PC,INTIM WIT/VICT FR SEK ARR,,M,,,97410,19810101,,*
1,48120,1,136.1(B)(3),PC,ATT STOP VIC/ETC:SEK ARST,*,F,,,46300,19980101,,*
2,48058,1,136.1(C)(1),PC,INTIMIDATE WIT/VICT,,F,,,19700,19810101,20201104,*
2,48067,1,136.1(C)(2),PC,INTIMIDATE WIT/VICT,,F,,,19700,19810101,20201104,*
1,48068,1,136.1(C)(3),PC,INTIM WIT/VICT:PR CONV,,F,,,19700,19810101,,*
2,48069,1,136.1(C)(4),PC,INTIMIDATE WIT/VICT,,F,,,19700,19810101,20201104,*
1,48137,1,136.2(A)(7)(B)2,PC,POSSES F/ARM:VIOL P/ORDER,,M,,,91535,19810101,,*
2,52153,1,136.5,PC,C/D/WPN:INT:INTIM WIT/VIC,,F,,,69200,19830101,20201124,*
1,52680,1,136.5,PC,CDW W/INT INTIM WIT/VICT,*,M,,,97410,19830101,,*
2,48045,1,136.7,PC,PRIS GIV PRIS WIT/ETC INF,,F,,,69400,19880101,20201104,*
1,48150,1,136.7,PC,SEX OFR REVEAL WIT INFO,*,M,,,90800,19880101,,*
1,51032,1,137(A),PC,INFLUENCE TESTIMONY:BRIBE,,F,,,34600,19780101,,*
2,51033,1,137(B),PC,GET FLSE TESTMONY:FRC/ETC,,F,,,19500,19780101,20201108,*
1,51034,1,137(C),PC,UNLAW INFLU OF TESTIMONY,,M,,,123900,19780101,,*
1,51040,1,138(A),PC,BRIBE WITNESS,,F,,,34700,19870101,,*
1,51039,1,138(B),PC,WITNESS RECEIVE BRIBE,,F,,,34700,19910101,,*
1,48082,1,139(A),PC,FELN THRT FRC/ETC:WIT/ETC,,F,,,22510,19860101,,*
1,48151,1,139(A),PC,FEL THRTN FRC/ETC:WIT/ETC,*,M,,,90800,19860101,,*
2,48126,1,140(A),PC,THRET FORCE/ETC:WIT/VICT,,F,,,22512,19990101,20201104,*
2,48127,1,140(A),PC,THREAT FORCE/ETC WIT/VICT,*,M,,,103400,19990101,20201104,*
1,48133,1,141(A),PC,ALT EVID WIT CHRG W/CRIME,,M,,,150200,20010101,,*
1,48134,1,141(B),PC,PO ALT/ETC PHYS MATTER WI,,F,,,14790,20010101,,*
1,48148,1,141(C),PC,PROS ATT ALT PHYS MTR WI,,F,,,33000,20170101,,*
1,48070,1,142(A),PC,PO REFUSE TO ARREST,,F,,,72400,19800101,,*
1,48152,1,142(A),PC,PO REFUSE TO ARREST,*,M,,,98000,19800101,,*
1,56004,1,145,PC,DELAY TAKING BEFORE JUDGE,,M,,,150400,18720101,,*
1,44045,1,146(A),PC,MAKE ARREST/ETC W/O AUTH,,M,NOA,,142100,19910101,,*
1,44086,1,146(B),PC,SEIZE/LEVY PROP W/O AUTH,,M,POS,,142100,19910101,,*
1,44087,1,146(C),PC,DSPSSESS LND/ETC W/O AUTH,,M,POD,,142100,19910101,,*
1,44047,1,146A(A),PC,IMPERSON STATE DEPUTY/ETC,,M,,,142300,19940101,,*
1,44088,1,146A(A)(1),PC,FLS DEPUTY/ETC ARREST/DTN,,M,,,142300,19940101,,*
1,44089,1,146A(A)(2),PC,FLS DEPUTY/ETC INTIMIDATE,,M,,,142300,19940101,,*
1,44090,1,146A(A)(3),PC,FLS DEPUTY/ETC SRCH PERSN,,M,,,142300,19940101,,*
1,44091,1,146A(A)(4),PC,FLS DEPUTY/ETC OBT MONEY,,M,,,142300,19940101,,*
2,44046,1,146A(B),PC,IMP PUB OFCR/ETC:ARST/ETC,,F,,,72912,19940101,19940101,*
1,44092,1,146A(B)(1),PC,FLS PUB OFCR ARREST/DETN,*,M,,,91650,19940101,,*
1,44093,1,146A(B)(1),PC,FLS PUB OFCR ARREST/DETN,,F,,,72912,19940101,,*
2,44072,1,146A(B)(2),PC,IMP PUB OFCR/ETC:INTIMIDA,*,M,POI,,91650,19940101,19940101,*
1,44094,1,146A(B)(2),PC,FLS PUB OFCR INTIM PERSON,,M,FPI,,91650,19940101,,*
1,44095,1,146A(B)(2),PC,FLS PUB OFCR INTIM PERSON,,F,,,72912,19940101,,*
1,44096,1,146A(B)(3),PC,FLS PUB OFCR SEARCH PERSN,*,M,,,91650,19940101,,*
1,44097,1,146A(B)(3),PC,FLS PUB OFCR SEARCH PERSN,,F,,,72912,19940101,,*
1,44098,1,146A(B)(4),PC,FLS PUB OFCR OBTAIN MONEY,*,M,,,91650,19940101,,*
1,44099,1,146A(B)(4),PC,FLS PUB OFCR OBTAIN MONEY,,F,,,72912,19940101,,*
1,44005,1,146B,PC,REQ/ETC INFO GUIS GOV ENT,,M,,,142400,19590918,,*
1,26006,1,146C,PC,ILLEGAL USE PO/ETC NAME,,M,,,142500,19630920,,*
2,50011,1,146D,PC,SEL/ETC BAGE/ETC:FAV TRET,,M,,,142600,19630920,20201124,*
2,48090,1,146E,PC,DISCL PO/ETC ADR PH/NBR,,M,,,142700,19920101,,*
1,48043,1,146E(A),PC,DISCLS/ETC PO/ETC ADR/ETC,,M,,,142700,19950101,,*
1,48044,1,146E(B),PC,GIVE PO/ETC ADR/ETC:B/INJ,,F,,,23820,19950101,,*
1,48141,1,146G(A)(1),PC,PO/ETC DISCLOSE INFO,,M,,,168200,20080101,,*
1,48142,1,146G(A)(2),PC,PO/ETC SOLICITS:EXCH INFO,,M,,,168200,20080101,,*
1,48153,1,146G(B),PC,SOLICT PO/ETC FINAN GAIN,,M,,,168200,20080101,,*
1,48143,1,146G(C)(1),PC,PO/ETC SOLICIT:SELL PHOTO,,M,,,168200,20080101,,*
1,48154,1,146G(C)(2),PC,SOLICT PO/ETC DISCL PHOTO,,M,,,168200,20080101,,*
1,56006,1,147,PC,INHUMANITY TO PRISONERS,,M,,,173800,18720101,,*
1,48122,1,148(A)(1),PC,OBSTRUCT/ETC PUB OFCR/ETC,,M,,,89500,19980101,,*
1,48132,1,148(A)(2),PC,OBSTR/ETC PUB OFC:RADIO,,M,,,97700,19980101,,*
1,48087,1,148(B),PC,TAKE NON-FIREARM FROM PO,,F,,,41100,19900101,,*
1,48123,1,148(B),PC,TAKE PO/ETC WPN:NON-F/ARM,*,M,,,89500,19900101,,*
2,48091,1,148(C),PC,TAKE F/ARM FROM PO:SC,,F,,,23700,19900101,20201124,*
1,48085,1,148(D),PC,ATT RMV/ETC F/ARM:PO/ETC,,F,,,41100,19900101,,*
1,48124,1,148(D),PC,ATT REM/ETC PO/ETC F/ARM,*,M,,,89500,19900101,,*
1,48092,1,148(D)(1),PC,ATT RMV 'PO' F/ARM:S/CIRC,,F,,,41100,19900101,,*
1,53081,1,148.1(A),PC,FALSE BOMB/ETC REP:PO/ETC,,F,,,42100,19720304,,*
1,53129,1,148.1(A),PC,FALSE BOMB/ETC RPT:PO/ETC,*,M,,,90900,19720304,,*
2,53102,1,148.1(B),PC,FALSE BOMB RPRT TO PO,,F,,,42100,19850101,20201108,*
1,53147,1,148.1(B),PC,FALSE BOMB REPORT ON DUTY,*,M,,,90900,19671108,,*
1,53103,1,148.1(C),PC,FALSE BOMB REPORT,,F,,,42100,19850101,,*
1,53148,1,148.1(C),PC,FALSE BOMB REPORT,*,M,,,90900,19850101,,*
1,52164,1,148.1(D),PC,GIVE/PLACE/ETC FALSE BOMB,,F,,,42100,19850101,,*
1,53149,1,148.1(D),PC,GIVE/PLACE/ETC FALSE BOMB,*,M,,,90800,19850101,,*
1,48089,1,148.10(A),PC,RESIST PO:CAUSE DEATH/SBI,,F,,,22505,19910101,,*
1,48138,1,148.10(A),PC,RESIST PO:CAUSE DEATH/SBI,*,M,,,89500,19910101,,*
1,48155,1,148.2(2),PC,DISOBEY FIREMAN/PO ORDERS,,M,DFO,,102100,19660418,,*
1,48156,1,148.2(3),PC,DISORD CONDUCT AT FIRE,,M,DFE,,102100,19660418,,*
1,48157,1,148.2(4),PC,PRVNT ASSTNC EXTNGSH FIRE,,M,FAE,,102100,19660418,,*
2,48028,1,148.2.1,PC,INTRFER/ETC:FIREMAN/RESCR,,M,,,102100,19660418,20201112,*
2,48029,1,148.2.2,PC,DISOBEY ORDR OF F/MAN/ETC,,M,DOF,,102100,19660418,19660418,*
2,48030,1,148.2.3,PC,DLAY/PRVNT FIRE EXTNGUISH,,M,DPF,,102100,19660418,19660418,*
2,48031,1,148.2.4,PC,PREVENT FIRE ASSISTANCE,,M,PFA,,102100,19660418,19660418,*
1,53059,1,148.3(A),PC,FALSE REPORT EMERGENCY,,M,,,91100,19671108,,*
1,53060,1,148.3(B),PC,FALSE RPT EMERG:GBI/DEATH,,F,,,38600,19671108,,*
1,53116,1,148.4(A)(1),PC,TAMPER/ETC W/FIREALRM/ETC,,M,,,90900,19910101,,*
1,53086,1,148.4(A)(2),PC,SEND/ETC FALSE FIRE ALARM,,M,,,90900,19910101,,*
1,53119,1,148.4(B)(1),PC,FALSE FIRE ALARM:GBI,,F,,,39500,19910101,,*
1,53120,1,148.4(B)(2),PC,FALSE FIRE ALARM:DEATH,,F,,,39500,19910101,,*
1,53104,1,148.5(A),PC,FALSE CRIME:TO SPEC PO'S,,M,,,150600,19850101,,*
2,53105,1,148.5(B),PC,FALS RPT CRIME:SPEC PO,,M,,,150600,19850101,20201124,*
1,53110,1,148.5(C),PC,FLS RPT CRIME:LAW ENF EMP,,M,,,150600,19870101,,*
1,53126,1,148.5(D),PC,FLS RPT CRIME:GRAND JURY,,M,,,150600,19910101,,*
1,53146,1,148.5(F),PC,FLS RPT F/A LOST:LE EMP,,M,,,91150,20170101,,*
1,48099,1,148.6(A)(1),PC,FALSE ALEGE:PO MISCONDUCT,,M,,,141905,19970101,,*
1,48100,1,148.6(B),PC,FALSE CLAIM/LEIN AGNST PO,,M,,,141905,19970101,,*
2,44006,1,148.7,PC,IMPRSNATE:SRV OTHRS SENT,,M,,,146300,19630920,20201124,*
2,48077,1,148.9(A),PC,FALSE ID TO SPECIFIC PO'S,,M,,,141900,19850101,20201104,*
1,48079,1,148.9(B),PC,FALSE ID TO SPECIFIC PO,,M,,,141900,19850101,,*
1,13004,1,149,PC,ASSAULT BY PUBLIC OFFICER,,F,,,40000,18720101,,*
1,13221,1,149,PC,ASSAULT BY PUBLIC OFFICER,*,M,,,90100,20111001,,*
2,48015,1,150,PC,REFUSE TO AID OFFICER,,M,,,175900,18720101,20191231,*
2,9134,1,151(A)(1),PC,ADVOCATE INJ PO W/O INJ,,M,,,102300,19720304,20201027,*
2,9135,1,151(A)(2),PC,ADVOCAT KILL/INJ PO W/INJ,,F,,,23800,19720304,20201027,*
1,66123,1,152(A),PC,CONCL/ETC ACCIDENTL DEATH,,M,,,96600,20000101,,*
2,50145,1,152.3(D),PC,FAIL RPT CRIM AGST CHILD,,M,,,125000,20010101,20201112,*
1,48016,1,153,PC,COMP/CNCEL CRIM:TAK $/ETC,*,M,,,150100,18720101,,*
1,48041,1,153,PC,COMP/CNCEL CRIM:FOR $/ETC,,F,,,72600,18720101,,*
2,26339,1,154(A),PC,DBTR HID/ETC PROP:DEF/ETC,,M,,,100300,19910101,20201102,*
1,26340,1,154(B),PC,DBTR HID/ETC PROP:DEF/ETC,,F,,,27000,19910101,,*
2,26341,1,155(A),PC,DEFN HID/ETC PROP:DEF/ETC,,M,,,100200,19910101,20201102,*
2,26342,1,155(B),PC,DEFN HID/ETC PROP:DEF/ETC,,F,,,27100,19910101,20201103,*
1,26646,1,155.5(A),PC,SELL/ETC PROP AVOID RESTN,,M,,,100200,19870101,,*
1,26546,1,155.5(B),PC,SELL/ETC PROP:AVOID RESTI,,F,,,27100,19870101,,*
1,26009,1,156,PC,MISREP CHILD TO INHERIT,,F,,,16900,18720101,,*
1,26010,1,157,PC,SUB ONE CHILD FOR ANOTHER,,F,,,18300,18720101,,*
1,50012,1,158,PC,COMMON BARRATRY,,M,,,106000,18720101,,*
1,31247,1,160(A),PC,BAIL SRVS:SOLICITATION,,M,,,148860,20050101,,*
1,51021,1,165,PC,BRIBE PUBLIC OFFICIAL,,F,,,19100,19050101,,*
1,50103,1,166(A)(1),PC,CNTMPT:CRT:DISRD/ETC BEHV,,M,,,141000,19940101,,*
1,50187,1,166(A)(10),PC,CONTEMPT:VIOL GANG INJUNC,,M,,,141000,20120101,,*
1,50104,1,166(A)(2),PC,CONTEMPT:PRESENCE OF JURY,,M,,,141000,19940101,,*
1,50105,1,166(A)(3),PC,CONTEMPT:BREACH OF PEACE,,M,,,141000,19940101,,*
1,50106,1,166(A)(4),PC,CONTEMPT:DISOBEY CRT ORDR,,M,,,96410,19940101,,*
1,50107,1,166(A)(5),PC,CONTEMPT:RESIST ORDER/ETC,,M,,,141000,19940101,,*
2,50108,1,166(A)(6),PC,CONTEMPT:REFUSE TO SWEAR,,M,,,141000,19940101,20111231,*
2,50183,1,166(A)(6),PC,CONTEMPT:JUROR DISOBEY,,M,,,141000,20120101,20201108,*
2,50109,1,166(A)(7),PC,CONTEMPT:PUB FLS/ETC RPT,,M,,,141000,19940101,20111231,*
2,50184,1,166(A)(7),PC,CONTEMPT:REFUSE TO SWEAR,,M,,,141000,20120101,20201108,*
2,50110,1,166(A)(8),PC,CONTEMPT:INFLUENCE SENT,,M,,,141000,19940101,20111231,*
2,50185,1,166(A)(8),PC,CONTEMPT:PUB FLS/ETC RPT,,M,,,141000,20120101,20201108,*
2,50174,1,166(A)(9),PC,CONTEMPT:VIOL GANG INJUNC,,M,,,141000,20110101,20111231,*
2,50186,1,166(A)(9),PC,CONTEMPT:INFLUENCE SENT,,M,,,141000,20120101,20201108,*
1,50166,1,166(B)(1),PC,CNTEMPT OF COURT:PR 646.9,,M,,,96410,18000101,,*
1,50112,1,166(C)(1),PC,CONTEMPT:VIOL PROTECT ORD,,M,,,96410,19940101,,*
1,50124,1,166(C)(4),PC,VIO PROT ORD:DOMSTIC W/PR,,F,,,48400,19940101,,*
1,50125,1,166(C)(4),PC,VIO PROT ORDER:DOMES:W/PR,*,M,,,96410,19940101,,*
1,50150,1,166(D)(1),PC,VIO PROT ORD:W/FIREARM,*,M,,,96410,19940101,,*
1,50151,1,166(D)(1),PC,VIO PROT ORD:W/FIREARM,,F,,,48400,19940101,,*
1,50022,1,167,PC,RECORD JURY DELIBERATION,,M,,,142800,19570911,,*
1,50094,1,168(A),PC,DISCL WARR INFO PR EXECUT,,F,,,72500,19870101,,*
1,50024,1,169,PC,PICKT COURTHSE IMPDE JUST,,M,,,143000,19700918,,*
1,57004,1,170,PC,OBTAIN WARRANT W/O CAUSE,,M,,,143200,18720101,,*
1,48017,1,171,PC,COMMUN W/REFORM INMATE,,M,,,143300,18720101,,*
2,52349,1,171.5(C)(1),PC,POS IN AIRPORT:FIREARM,,M,,,120400,20030101,20201113,*
1,52358,1,171.5(C)(10),PC,POS IN AIRPORT:STUN GUN,,M,,,122000,20030101,,*
1,52359,1,171.5(C)(11),PC,POS AIRPORT:PROJECTLE WPN,,M,,,121800,20030101,,*
1,52360,1,171.5(C)(12),PC,POS IN AIRPORT:AMMUNITION,,M,,,119910,20030101,,*
1,52350,1,171.5(C)(2),PC,POSSESS IN AIRPORT:KNIFE,,M,,,120600,20030101,,*
1,52351,1,171.5(C)(3),PC,POS IN AIRPORT:BOX CUTTER,,M,,,120600,20030101,,*
1,52352,1,171.5(C)(4),PC,POS IN AIRPRT:HND GRENADE,,M,,,146000,20030101,,*
1,52353,1,171.5(C)(5),PC,POS AIRPRT:RPLCA GRENADE,,M,,,146100,20030101,,*
1,52354,1,171.5(C)(6),PC,POS AIRPRT:PLSTIC GRENADE,,M,,,146000,20030101,,*
1,52355,1,171.5(C)(7),PC,POS AIRPRT:REPLICA F/ARM,,M,,,146100,20030101,,*
1,52356,1,171.5(C)(8),PC,POS AIRPRT:FRAME OF F/ARM,,M,,,121800,20030101,,*
1,52357,1,171.5(C)(9),PC,POS AIRPRT:TEAR GAS WPN,,M,,,146000,20030101,,*
1,52681,1,171.7(B),PC,POSS WPN STERIL TRNST FAC,,M,,,146000,20110101,,*
1,52245,1,171B(A)(1),PC,POS/ETC F/ARM:PUB BLD/ETC,,F,,,64300,19940101,,*
1,52682,1,171B(A)(1),PC,POSS/ETC F/ARM: PUB BLDG,*,M,,,146000,19830101,,*
1,52227,1,171B(A)(2),PC,POS/ETC D/WPN:PUB BLD/ETC,,F,,,64300,19940101,,*
1,52649,1,171B(A)(2),PC,POSS DEADLY WPN:PUB BLDG,*,M,,,100600,20120101,,*
1,52246,1,171B(A)(3),PC,POS/ETC KNIFE:PUB BLD/ETC,,F,,,64300,19940101,,*
1,52683,1,171B(A)(3),PC,POSS/ETC KNIFE: PUB BLDG,*,M,,,100700,19830101,,*
1,52311,1,171B(A)(4),PC,POSS/ETC TEARGAS:PUB BLDG,,F,,,64300,19960101,,*
1,52312,1,171B(A)(4),PC,POSS/ETC TEARGAS:PUB BLDG,*,M,,,100600,19960101,,*
1,52304,1,171B(A)(5),PC,POS/ETC TASER/STUNGUN:BLD,,F,,,64300,19960101,,*
1,52305,1,171B(A)(5),PC,POS/ETC TAZER/STUNGUN:BLD,*,M,,,100600,19960101,,*
1,52418,1,171B(A)(6),PC,POSS/ETC BB/PELLET:PUBBLD,,F,,,64300,19960101,,*
1,52419,1,171B(A)(6),PC,POSS/ETC BB/PELLET:PUBBLD,*,M,,,100600,19960101,,*
1,52149,1,171C,PC,LOAD F/ARM:STATE CAP/ETC,,F,,,64000,19670728,,*
1,52684,1,171C(A)(1),PC,LOADED FIREARM ST CAPITOL,,F,,,64000,20110101,,*
1,52685,1,171C(A)(1),PC,LOADED FIREARM ST CAPITOL,*,M,,,92500,20110101,,*
1,52686,1,171C(A)(2),PC,POSS WEAPON ST CAPITOL,,M,,,92500,20110101,,*
1,52383,1,171D(A),PC,LOADED GUN:ST OFCR RESDNC,,F,,,64100,19670728,,*
1,52384,1,171D(A),PC,LOADED GUN:ST OFCR RESDNC,*,M,,,91540,19670728,,*
